Longitude,Latitude,Name,Location
-107.119,40.03,Cold Springs,Yampa
-105.497,39.842,Cold Springs,Black Hawk
-107.957,39.081,Collbran - Cottonwood Lake,Cedaredge
-106.316,38.813,Collegiate Peaks,Buena Vista
-105.094,39.08,Colorado,Woodland Park
-105.549,39.817,Columbine,Central City
-108.381,38.424,Columbine,Montrose
-106.603,38.599,Comanche,Ohio City
-106.362,37.445,Comstock,Monte Vista
-106.444,37.171,Conejos,Antonito
-106.292,38.782,Cottonwood Lake,Buena Vista
-105.461,38.909,Cove,Woodland Park
-106.279,39.875,Cow Creek,Silverthorne
-105.12,38.871,Crags,Divide
-107.599,38.688,Crawford State Park,Crawford
-108.923,40.81,Crook - Browns Wildlife Area,Maybell
-107.052,40.17,Crosho Lake Recreation Area,Oak Creek
-106.65,37.581,Cross Creek,South Fork
-104.343,40.644,Crow Valley,Fort Collins
-105.071,38.055,Davenport,Colorado City
-106.231,39.838,Davis Springs,Silverthorne
-106.738,39.361,Dearhamer,Basalt
-107.302,39.772,Deep Lake,Gypsum
-105.554,39.508,Deer Creek,Bailey
-107.188,38.022,Deer Lakes,Lake City
-108.523,40.45,Deerlodge Park - Dinosaur National Monument,Maybell
-106.353,37.683,Del Norte City Park,Del Norte
-106.079,40.255,Denver Creek,Granby
-105.103,39.271,Devils Head,Sedalia
-106.325,39.092,Dexter,
-106.774,39.141,Difficult,Aspen
-106.587,38.905,Dinner Station,Almont
-108.689,38.684,Divide Fork,Grand Junction
-106.663,38.965,Dorchester,Almont
-105.557,40.791,Dowdy Lake,Red Feather Lakes
-107.187,38.481,Dry Gulch - Curecanti Area,Gunnison
-106.781,40.536,Dry Lake,Steamboat Springs
-107.896,40.435,Duffy Mountain - Yampa River State Park,Craig
-106.627,40.405,Dumont Lake,Steamboat Springs
-105.444,40.697,Dutch George,Fort Collins
-107.811,39.215,Early Settlers - Vega State Park,Collbran
-102.17,39.613,East Beach - Bonny Lake State Park,Idalia
-108.321,40.482,East Cross Mountain - Yampa River State Park,Maybell
-106.889,37.377,East Fork,Pagosa Springs
-107.426,40.011,East Marvine,Meeker
-107.65,38.525,East Portal - Curecanti National Rec Area,Gunnison
-105.593,39.658,Echo Lake - Idaho Springs,Idaho Springs
-108.983,40.525,Echo Park - Dinosaur National Monument,Maybell
-107.936,39.049,Eggleston,Cedaredge
-106.418,39.152,Elbert Creek,Leadville
-105.503,38.937,Eleven Mile State Park,Lake George
-106.368,37.126,Elk Creek,Antonito
-107.167,38.466,Elk Creek - Curecanti Area,Gunnison
-106.612,39.344,Elk Wallow,Basalt
-106.325,39.874,Elliott Creek,Silverthorne
-105.684,39.762,Empire City RV Parking,Emprire
-107.264,38.958,Erickson Springs,Paonia
-104.994,39.01,Farish Military - USAF Academy,Colorado Springs
-106.352,39.276,Father Dyer,Leadville
-108.647,37.618,Ferris Canyon,Cortez
-105.536,38.441,Five Points - Arkansas Headwaters State Rec Area,
-105.086,39.326,Flat Rocks,Sedalia
-105.233,40.372,Flatiron Reservoir,Loveland
-102.845,40.681,Fleming RV Park,Fleming
-107.682,37.452,Florida,Bayfield
-102.22,39.614,Foster Grove - Bonny Lake State Park,Idalia
-106.104,39.21,Fourmile,Fairplay
-107.421,40.762,Freeman Reservoir,Craig
-108.74,39.15,Fruita - Colorado River State Park,Fruita
-106.658,39.492,Fulford Cave,Eagle
-106.302,38.547,Garfield,Salida
-108.887,40.727,Gates of Lodore - Dinosaur National Monument,Maybell
-105.737,39.532,Geneva Park,Jefferson
-105.689,39.734,Georgetown Lake,Georgetown
-105.596,40.33,Glacier Basin - Rocky Mountain National Park,Estes Park
-106.574,38.655,Gold Creek,Gunnison
-106.436,39.404,Gold Park,Minturn
-105.359,39.171,Goose Creek,Woodland Park
-106.275,39.627,Gore Creek,Vail
-106.56,40.074,Gore Pass,Kremmling
-107.006,38.982,Gothic,Crested Butte
-107.54,37.391,Graham Creek,Bayfield
-105.772,40.503,Grand View,Fort Collins
-106.691,40.496,Granite,Steamboat Springs
-105.316,38.407,Grape Creek - Temple Canyon Park,Canon City
-105.356,39.326,Green Mountain,Deckers
-105.844,40.206,Green Ridge,Granby
-104.846,37.936,Greenhorn Meadows Park,Colorado City
-106.599,40.557,Grizzly Creek,Walden
-105.716,39.613,Guanella Pass,Georgetown
-106.952,39.651,Gypsum,Glenwood Springs
-106.997,40.84,Hahns Peak Lake,Steamboat Springs
-106.432,39.501,Halfmoon,Leadville
-106.396,39.161,Halfmoon East,Leadville
-106.397,39.158,Halfmoon West,Leadville
-105.805,39.483,Hall Valley,Webster
-105.802,39.482,Handcart,Jefferson
-106.737,37.813,Hansons Mill,Creede
-105.362,39.015,Happy Meadows,Woodland Park
-102.624,40.646,Harvester Park,Haxtun
-107.808,37.534,Haviland Lake,Durango
-105.823,38.33,Hayden Creek,Salida
-107.311,40.49,Headquarters  - Yampa River State Park,Hayden
-106.078,39.604,Heaton Bay,Frisco
-106.052,38.653,Hecla Junction - Arkansas Headwaters State Rec Area,Salida
-105.464,40.335,Hermit Park Open Space,Estes Park
-106.608,40.507,Hidden Lakes,Walden
-107.133,38.041,Hidden Valley,Lake City
-105.784,39.919,Hideaway Park,Winter Park
-108.836,39.27,Highline Lake State Park,Loma
-106.685,37.622,Highway Springs,South Fork
-107.272,40.028,Himes Peak,Buford
-106.834,40.749,Hinman Park,Steamboat Springs
-106.366,39.472,Hornsilver,Minturn
-106.096,39.9,Horseshoe,Parshall
-106.086,39.202,Horseshoe,Fairplay
-107.113,40.035,Horseshoe,
-108.535,37.516,House Creek,Dolores
-109.071,37.383,Hovenweep National Monument,Cortez
-103.471,39.134,Hugo City Park,Hugo
-105.778,39.904,Idlewild,Winter Park
-105.098,39.381,Indian Creek,Sedalia
-105.161,40.527,Inlet Bay - Horsetooth Reservoir,Fort Collins
-108.734,40.826,Irish Canyon,Maybell
-106.338,38.709,Iron City,Nathrop
-108.164,38.317,Iron Springs,Montrose
