Longitude,Latitude,Name,Location
-87.899,39.003,Crawford County Fairgrounds,Oblong
-89.361,38.632,Dam West  - Lake Carlyle,Carlyle
-89.839,39.915,Deer Park,Petersburg
-90.942,40.959,Delabar State Park,Oquawka
-88.207,41.377,Des Plaines State Conservation Area,Wilmington
-88.21,41.311,Desplaines Conservational Park,Wilmington
-89.512,37.639,Devils Backbone Park,Grand Tower
-89.111,37.644,Devils Kitchen,Makanda
-88.666,37.383,Dixon Springs State Park,Golconda
-89.226,37.984,Du Quoin State Fair Campground,Du Quoin
-88.71,39.501,Eagle Creek State Park,Findlay
-89.327,38.663,Eldon Hazlet State Park,Carlyle
-88.881,39.866,Faries Park,Decatur
-88.966,37.533,Ferne Clyffe State Park,Goreville
-90.396,41.567,Fishermans Corner - Mississippi River,Hampton
-87.564,40.01,Forest Glen County Preserve,Danville
-89.147,36.987,Fort Defiance State Park,Cairo
-89.909,37.969,Fort Kaskaskia State Park,Ellis Grove
