Longitude,Latitude,Name,Location
-121.448,40.248,Elam,Chester
-124.03,41.359,Elk Prairie  - Prairie Creek Redwoods State Park,Orick
-119.244,37.938,Ellery,Lee Vining
-122.242,40.916,Ellery Creek,Lakehead
-120.085,38.952,Emerald Bay State Park,South Lake Tahoe
-120.138,41.264,Emerson,Eagleville
-117.227,36.495,Emigrant - Death Valley National Park,Panamint Springs
-119.319,34.282,Emma Wood State Beach,Ventura
-114.2,34.226,Empire Landing,Earp
-118.163,36.451,Equestrian,
-121.495,36.141,Escondido,Greenfield
-118.949,36.69,Eshom,Woodlake
-122.9,41.459,Etna City Park,Etna
-119.79,38.34,Eureka Valley,Dardanelle
-118.589,35.643,Evans Flat,Wofford Heights
-118.49,35.929,Fairview,Kernville
-119.207,34.173,Fairways RV Military - Port Hueneme NCB,Port Hueneme
-118.159,34.306,Fall Creek,Palmdale
-120.051,38.926,Fallen Leaf,South Lake Tahoe
-119.387,34.318,Faria RV Park,Ventura
-120.396,38.869,Fashoda,Pollock Pines
-121.274,39.643,Feather Falls,Feather Falls
-121.105,40.19,Feather River/Rocky Point - Lake Almanor,Canyondam
-120.029,41.835,Fee Reservoir,Fort Bidwell
-119.871,38.367,Fence Creek,Mi-Wuk
-116.736,33.79,Fern Basin,Idyllwild
-120.992,39.518,Fiddle Creek,Camptonville
-117.15,32.651,Fiddlers Cove RV Military - Coronado NB,Coronado
-119.994,34.735,Figueroa,Los Olivos
-120.553,39.486,Findley,Sierraville
-120.752,38.799,Finnon Lake,Placerville
-123.403,40.343,Fir Cove,Mad River
-120.551,39.486,Fir Top,Sierraville
-119.353,37.26,Fish Creek,Auberry
-118.217,36.067,Fish Creek,Inyokern
-123.684,41.265,Fish Lake,Orleans
-120.408,37.701,Fleming Meadow - Don Pedro Rec Area,La Grange
-124.153,41.802,Florence Keller County Park,Crescent City
-122.213,38.522,Foothill Pines - Lake Berryessa - USBR,Napa
-123.327,40.377,Forest Glen,Hayfork
-118.579,37.255,Forks,Aspendell
-119.569,37.315,Forks,Oakhurst
-123.256,41.865,Fort Goff,Seiad
-121.186,35.962,Fort Hunter Liggett Primitive Military,King City
-123.228,38.508,Fort Ross State Park,Bodega Bay
-120.073,40.06,Fort Sage Off Hwy Area,Doyle
-117.923,35.977,Fossil Falls,Little Lake
-119.314,34.356,Foster Park,Ventura
-118.571,37.249,Four Jeffery,Bishop
-122.654,39.362,Fouts,Stonyford
-122.023,41.245,Fowlers Camp,McCloud
-121.373,37.42,Frank Raines Regional Park,Patterson
-120.07,38.17,Fraser Flat,Mi-Wuk
-118.692,36.238,Frazier Mill - State Forest,Springville
-119.822,34.543,Fremont,Santa Barbar
-121.502,36.76,Fremont Peak State Park,San Juan Bautista
-118.683,37.553,French Camp,Bishop
-120.421,39.115,French Meadows,Foresthill
-120.188,39.9,Frenchman,Chilcoot
-121.151,39.458,Frenchy Point,Camptonville
-119.548,37.456,Fresno Dome,Oakhurst
-118.573,35.874,Frog Meadow,California Hot Springs
-120.522,38.044,Frogtown RV Park,Angels Camp
-116.881,33.344,Fry Creek,Santa Ysabel
-122.968,39.436,Fuller Grove - Lake Pillsbury,Potter Valley
-120.656,39.35,Fuller Lake,Nevada City
-116.869,36.463,Furnace Creek - Death Valley National Park,Furnace Creek
-119.468,37.361,Gaggs Camp,Oakhurst
-121.223,40.02,Gansner Bar,Quincy
-121.123,39.433,Garden Point,Camptonville
-120.229,34.472,Gaviota State Park,Goleta
-115.143,32.94,Gecko Loop - Imperial Sand Dunes OHV,Brawley
-120.959,37.36,George Hatfield State Rec Area,Hilmar
-120.392,38.975,Gerle Creek,Pollock Pines
-120.792,39.139,Giant Gap,Foresthill
-119.106,37.013,Gigantea,Shaver Lake
-115.079,32.992,Glamis Flats - Imperial Sand Dunes OHV,Brawley
-118.99,37.752,Glass Creek,June Lake
-117.404,34.205,Glen Helen Regional Park,San Bernardino
-117.952,34.241,Glenn Camp,Azusa
-120.541,38.009,Gloryhole Rec Area- Ironhorse - USBR,Angels Camp
-124.068,41.396,Gold Bluffs Beach - Prarie Creek Redwoods State Park,Orick
-121.139,39.605,Golden Trout Crossing,Marysville
